caseid,weight,F1,F2,F3,F4,F5,F6,Economic Mobility 1,Economic Mobility 2,Economic Mobility 3,Economic Mobility 4,Economic Mobility 5,Economic Mobility 6,Economic Mobility 7,Education 1,Education 2,Education 3,Education 4,Education 5,Education 6,Education 7,Education 8,Education 9,Healthcare 1,Healthcare 2,Healthcare 3,Healthcare 4,Healthcare 5,Healthcare 6,Healthcare 7,,Energy 1,Energy 2,Energy 3,Energy 4,Energy 5,Fed Spending & Debt,Taxes 1,Taxes 2,Taxes 3,Taxes 4,Taxes 5,Taxes 6,Taxes 7,Grand Bargain or Current Direction?,pid3,What would you change to make you reconsider,birthyr,gender,race,hispanic,educ,marstat,employ,faminc_new,child18,inputzip,inputstate,ownhome,pid7,presvote20post,presvote24post,votereg,ideo5,newsint,religpew,pew_churatd,pew_bornagain,pew_religimp,pew_prayer,starttime,endtime
2360369878,0.7726105984,Yes,None,Yes,Probably yes,Not sure,Not sure,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Good Idea,Current Direction,Not sure,I'm not sure,1989,Female,White,No,High school graduate,Divorced,Unemployed,"$70,000 - $79,999",Yes,6357,Connecticut,Rent,Independent,Did not vote for President,Donald Trump,Yes,Moderate,Hardly at all,Nothing in particular,Never,No,Not at all important,Never,2025-07-18 17:44:32,2025-07-18 17:50:58
2359906298,3.216396327,Yes,None,Yes,Probably yes,Yes,Yes,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Good Idea,,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,Grand Bargain,Independent,,1953,Female,White,No,2-year,Divorced,Retired,"$40,000 - $49,999",No,62208,Illinois,Own,Lean Democrat,Joe Biden,Kamala Harris,Yes,Liberal,Most of the time,Protestant,Seldom,No,Somewhat important,Several times a day,2025-07-18 17:44:08,2025-07-18 17:51:05
2360369948,1.663192428,No,"MOst of the ideas were pointless and missed the big picture. UNIVERSAL healthcare. BE done with it, fix it. Revamp the ENTIRE tax system to make it fair, get rid of IRS and save money and not let people con tax system.",Not sure,Probably no,No,No,Hate It,Hate It,Hate It,Hate It,Hate It,Hate It,Hate It,Not Sure,Not Sure,Good Idea,Critical to Me & Others,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Critical to Me & Others,Not Sure,Good Idea,Dislike It,Not Sure,Not Sure,Not Sure,,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Critical to Me & Others,Not Sure,Dislike It,Not Sure,Not Sure,Not Sure,Not Sure,Good Idea,Grand Bargain,Not sure,,1982,Female,White,No,High school graduate,Domestic / civil partnership,Part-time,"$80,000 - $99,999",No,29651,South Carolina,Own,Independent,Did not vote for President,Did not vote for President,No,Not sure,Hardly at all,Atheist,Never,No,Not at all important,Never,2025-07-18 17:44:55,2025-07-18 17:51:22
2360374312,1.599660063,Not sure,Not sure.,Not sure,Not sure,Not sure,Not sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Hate It,,Hate It,Hate It,Hate It,Hate It,Not Sure,Hate It,Hate It,Hate It,Hate It,Hate It,Hate It,Hate It,Good Idea,Grand Bargain,Republican,,1962,Male,White,No,High school graduate,Married,Retired,Prefer not to say,No,27403,North Carolina,Own,Not very strong Republican,Donald Trump,Donald Trump,Yes,Very conservative,Most of the time,Protestant,Don't know,Yes,Very important,Several times a day,2025-07-18 17:48:08,2025-07-18 17:52:57
2360369978,0.6312122678,Yes,Some people may not want to express their opinions,Not sure,Probably yes,Not sure,Not sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Grand Bargain,Republican,,1960,Female,White,No,High school graduate,Widowed,Part-time,Prefer not to say,No,46545,Indiana,Own,Strong Republican,Donald Trump,Donald Trump,Yes,Very conservative,Some of the time,Roman Catholic,Seldom,Yes,Very important,Once a day,2025-07-18 17:45:09,2025-07-18 17:53:26
2360072618,4.215162935,Not sure,I am not sure if I am 100% on board.,Not sure,Not sure,Not sure,Not sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,Current Direction,Republican,Tax breaks for all wage earners and tax breaks. A set amount for all.,1956,Female,White,No,Some college,Married,Retired,"$20,000 - $29,999",No,28640,North Carolina,Own,Strong Republican,Donald Trump,Donald Trump,Yes,Very conservative,Most of the time,Protestant,Once a week,Yes,Very important,Several times a day,2025-07-18 17:46:38,2025-07-18 17:53:35
2359942906,1.287473118,Yes,Having arguments,Not sure,Not sure,Not sure,Yes,Hate It,Critical to Me & Others,Dislike It,Critical to Me & Others,Dislike It,Critical to Me & Others,Not Sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Hate It,Hate It,Hate It,Hate It,Hate It,Hate It,Good Idea,,Good Idea,Good Idea,Good Idea,Good Idea,Hate It,Hate It,Hate It,Hate It,Hate It,Hate It,Hate It,Hate It,Hate It,Grand Bargain,Republican,,1954,Female,White,No,Post-grad,Divorced,Retired,"$150,000 - $199,999",No,82414,Wyoming,Own,Strong Republican,Donald Trump,Donald Trump,Yes,Very conservative,Most of the time,Jewish,Seldom,No,Somewhat important,Several times a day,2025-07-18 17:46:29,2025-07-18 17:53:49
2360369572,0.8757199398,Not sure,worried,Not sure,Probably yes,Yes,Yes,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Grand Bargain,Independent,,1943,Female,White,No,4-year,Married,Retired,"$80,000 - $99,999",No,11205,New York,Own,Lean Democrat,Joe Biden,Kamala Harris,Yes,Very liberal,Most of the time,Nothing in particular,Never,No,Not at all important,Never,2025-07-18 17:43:06,2025-07-18 17:54:26
2360011382,1.053860442,Yes,I would have no reservations,Yes,Definitely yes,Not sure,Yes,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Hate It,Hate It,Hate It,Hate It,Hate It,Hate It,Dislike It,,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Hate It,Hate It,Hate It,Hate It,Hate It,Hate It,Hate It,Hate It,Grand Bargain,Democrat,,1982,Male,Black,No,4-year,Divorced,Full-time,"$40,000 - $49,999",Yes,31064,Georgia,Own,Strong Democrat,Did not vote for President,Kamala Harris,Yes,Very liberal,Most of the time,Nothing in particular,A few times a year,Yes,Somewhat important,Once a day,2025-07-18 17:46:20,2025-07-18 17:54:48
2360370146,0.8247669599,Yes,None,Not sure,Definitely yes,Yes,Not sure,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Grand Bargain,Democrat,,1953,Female,Black,No,Some college,Divorced,Retired,"$20,000 - $29,999",No,44502,Ohio,Rent,Strong Democrat,Joe Biden,Kamala Harris,Yes,Very liberal,Most of the time,Protestant,Once a week,No,Very important,Once a week,2025-07-18 17:46:07,2025-07-18 17:54:52
