caseid,weight,F1,F2,F3,F4,F5,F6,Economic Mobility 1,Economic Mobility 2,Economic Mobility 3,Economic Mobility 4,Economic Mobility 5,Economic Mobility 6,Economic Mobility 7,Education 1,Education 2,Education 3,Education 4,Education 5,Education 6,Education 7,Education 8,Education 9,Healthcare 1,Healthcare 2,Healthcare 3,Healthcare 4,Healthcare 5,Healthcare 6,Healthcare 7,,Energy 1,Energy 2,Energy 3,Energy 4,Energy 5,Fed Spending & Debt,Taxes 1,Taxes 2,Taxes 3,Taxes 4,Taxes 5,Taxes 6,Taxes 7,Grand Bargain or Current Direction?,pid3,What would you change to make you reconsider,birthyr,gender,race,hispanic,educ,marstat,employ,faminc_new,child18,inputzip,inputstate,ownhome,pid7,presvote20post,presvote24post,votereg,ideo5,newsint,religpew,pew_churatd,pew_bornagain,pew_religimp,pew_prayer,starttime,endtime
2333008940,1.240394005,Not sure,Not sure,Not sure,Probably no,Not sure,No,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Not Sure,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Current Direction,Independent,,1978,Male,White,No,Some college,Married,Full-time,"$100,000 - $119,999",Yes,35117,Alabama,Own,Lean Republican,Donald Trump,Donald Trump,Yes,Conservative,Some of the time,Protestant,Once a week,Yes,Very important,Several times a day,2025-06-30 17:51:56,2025-06-30 17:56:40
2336313152,0.6689998774,No,Too complicated,No,Probably yes,Not sure,No,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Critical to Me & Others,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Current Direction,Independent,,1967,Male,White,No,High school graduate,Married,Retired,"$30,000 - $39,999",No,36301,Alabama,Rent,Independent,Donald Trump,Donald Trump,Yes,Conservative,Some of the time,Protestant,Seldom,Yes,Very important,Several times a day,2025-07-01 23:38:30,2025-07-01 23:43:59
2330484018,1.021750966,No,It is pointless and a waste of time,No,Definitely no,No,No,Dislike It,Good Idea,Dislike It,Dislike It,Dislike It,Good Idea,Hate It,Dislike It,Good Idea,Critical to Me & Others,Dislike It,Not Sure,Not Sure,Dislike It,Dislike It,Dislike It,Not Sure,Dislike It,Good Idea,Not Sure,Hate It,Good Idea,Critical to Me & Others,,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Not Sure,Hate It,Not Sure,Not Sure,Dislike It,Hate It,Current Direction,Republican,Changes that aren't biased against hardworking people.  Changes that actually hold people accountable and don't encourage the bloated system of handouts.  This entire package is just typical liberal ideology.,1963,Female,White,No,4-year,Divorced,Full-time,Prefer not to say,No,85756,Arizona,Own,Strong Republican,Donald Trump,Donald Trump,Yes,Very conservative,Most of the time,Protestant,More than once a week,Yes,Very important,Several times a day,2025-06-28 4:01:22,2025-06-28 4:22:17
2333358246,0.6534689501,Not sure,A little vague on what the solutions R.,Not sure,Definitely no,Not sure,Not sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Good Idea,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Current Direction,Republican,Back Trump & his solutions 2 these problems!,1944,Male,White,No,2-year,Widowed,Other,"$50,000 - $59,999",No,85054,Arizona,Own,Strong Republican,Donald Trump,Donald Trump,Yes,Conservative,Some of the time,Protestant,A few times a year,Yes,Somewhat important,A few times a week,2025-06-29 20:54:26,2025-06-29 21:05:54
2331292472,1.021750966,Not sure,I'd be concerned it might be viewed as pushing an agenda.,No,Not sure,Yes,Yes,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Current Direction,Independent,"Lower taxes and lower costs for working class, but not expecting wealthy and corporations to pay more in taxes. The cost end up getting passed on. Yes to lowering our debt as a nation by getting rid of waste and fraud. Deporting illegals will end up lowering housing and healthcare costs, improve jobs and economy and will give schools and teachers the availability and resources to focus on English speaking students.",1979,Female,White,No,4-year,Never married,Full-time,"$50,000 - $59,999",No,85085,Arizona,Own,Lean Republican,Donald Trump,Donald Trump,Yes,Conservative,Most of the time,Protestant,A few times a year,Yes,Very important,Once a day,2025-06-28 8:18:35,2025-06-29 3:20:54
2334387290,0.9903604317,No,Do not share,No,Probably no,Not sure,No,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,Not Sure,Good Idea,Good Idea,,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Not Sure,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Current Direction,Independent,Flat tax,1960,Male,White,No,High school graduate,Married,Retired,"$60,000 - $69,999",No,85602,Arizona,Own,Independent,Donald Trump,Donald Trump,Yes,Conservative,Most of the time,Nothing in particular,Never,No,Not too important,Seldom,2025-06-30 15:53:15,2025-06-30 16:05:23
2336235702,0.9003419648,No,They would not be interested.,No,Not sure,No,No,Not Sure,Good Idea,Dislike It,Hate It,Hate It,Not Sure,Hate It,Dislike It,Not Sure,Good Idea,Not Sure,Not Sure,Good Idea,Dislike It,Hate It,Dislike It,Hate It,Hate It,Good Idea,Not Sure,Hate It,Good Idea,Not Sure,,Critical to Me & Others,Hate It,Dislike It,Not Sure,Dislike It,Good Idea,Critical to Me & Others,Hate It,Critical to Me & Others,Not Sure,Not Sure,Hate It,Hate It,Current Direction,Independent,Less focus on spending and social engineering.  More focus on reducing the size and scope of government.,1976,Male,White,No,Post-grad,Married,Full-time,"$250,000 - $349,999",No,85268,Arizona,Own,Lean Republican,Donald Trump,Donald Trump,Yes,Conservative,Some of the time,Nothing in particular,Never,No,Not at all important,Seldom,2025-07-01 22:14:54,2025-07-01 22:48:33
2333940284,0.5179157878,Not sure,None,No,Not sure,Not sure,Not sure,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Hate It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Current Direction,Independent,We vote,1975,Female,Black,No,High school graduate,Divorced,Full-time,"$20,000 - $29,999",No,72211,Arkansas,Rent,Independent,Did not vote for President,Did not vote for President,No,Moderate,Only now and then,Nothing in particular,Once a week,Yes,Very important,Several times a day,2025-06-30 9:43:27,2025-06-30 9:53:39
2331011596,1.136353573,Yes,IF THEY WOULD HAVE THE TIME TO COMPLETE THE SURVEYS.,Yes,Probably yes,Yes,Not sure,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Current Direction,Democrat,Giving incentives,1976,Female,Black,No,Post-grad,Married,Full-time,"$80,000 - $99,999",No,72364,Arkansas,Own,Strong Democrat,Joe Biden,Kamala Harris,Yes,Conservative,Some of the time,Protestant,Once or twice a month,Yes,Very important,Once a day,2025-06-28 2:56:19,2025-06-28 3:02:02
2332045220,1.424445777,Yes,Nothing,Not sure,Probably yes,Yes,Yes,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Current Direction,Republican,Not sure,1993,Male,White,No,High school graduate,Married,Part-time,"$20,000 - $29,999",No,94565,California,Rent,Not very strong Republican,Did not vote for President,Donald Trump,Yes,Moderate,Some of the time,Roman Catholic,A few times a year,Yes,Somewhat important,A few times a week,2025-06-28 20:55:20,2025-06-28 21:01:09
