caseid,weight,F1,F2,F3,F4,F5,F6,Economic Mobility 1,Economic Mobility 2,Economic Mobility 3,Economic Mobility 4,Economic Mobility 5,Economic Mobility 6,Economic Mobility 7,Education 1,Education 2,Education 3,Education 4,Education 5,Education 6,Education 7,Education 8,Education 9,Healthcare 1,Healthcare 2,Healthcare 3,Healthcare 4,Healthcare 5,Healthcare 6,Healthcare 7,Healthcare 8,Energy 1,Energy 2,Energy 3,Energy 4,Energy 5,Fed Spending & Debt,Taxes 1,Taxes 2,Taxes 3,Taxes 4,Taxes 5,Taxes 6,Taxes 7,Grand Bargain or Current Direction?,pid3,What would you change to make you reconsider,birthyr,gender,race,hispanic,educ,marstat,employ,faminc_new,child18,inputzip,inputstate,ownhome,pid7,presvote20post,presvote24post,votereg,ideo5,newsint,religpew,pew_churatd,pew_bornagain,pew_religimp,pew_prayer,starttime,endtime
2283785844,0.7091846405,Not sure,People get enough crap sent to them everyday. I would possibly mention it in general conversation and if anybody was interested I would send it then.,No,Not sure,No,No,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Grand Bargain,Republican,,1971,Male,White,No,High school graduate,Divorced,Unemployed,"$70,000 - $79,999",No,36066,Alabama,Own,Not very strong Republican,Did not vote for President,Did not vote for President,No,Conservative,Hardly at all,Nothing in particular,Never,No,Not at all important,Never,2025-06-03 4:20:39,2025-06-03 4:34:59
2283920420,0.6386003435,No,not sure,No,Not sure,Not sure,Not sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Grand Bargain,Republican,,1997,Male,White,No,High school graduate,Married,Part-time,"$70,000 - $79,999",No,36104,Alabama,Own,Not very strong Republican,Donald Trump,Donald Trump,Yes,Conservative,Some of the time,Protestant,Seldom,No,Not too important,Seldom,2025-06-03 6:07:29,2025-06-03 6:16:13
2284067020,0.9629698405,Not sure,I think it's informative that will keep people on the know,No,Probably yes,Yes,Not sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Grand Bargain,Republican,,1989,Female,Black,No,Some college,Never married,Full-time,"Less than $10,000",No,36740,Alabama,Own,Not very strong Republican,Did not vote for President,Did not vote for President,Yes,Moderate,Some of the time,Something else,Never,Yes,Very important,Several times a day,2025-06-03 7:55:35,2025-06-03 8:01:52
2284351728,0.9230318077,Not sure,I don't know if they would be interested,No,Probably yes,Not sure,Not sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Grand Bargain,Republican,,1960,Female,White,No,High school graduate,Divorced,Retired,Prefer not to say,No,36532,Alabama,Own,Strong Republican,Donald Trump,Donald Trump,Yes,Conservative,Most of the time,Protestant,Never,No,Not too important,A few times a week,2025-06-03 11:33:25,2025-06-03 11:49:40
2284488434,0.7121069447,Yes,Privacy,Yes,Probably yes,Yes,Yes,Not Sure,Critical to Me & Others,Critical to Me & Others,Not Sure,Critical to Me & Others,Hate It,Hate It,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Good Idea,Critical to Me & Others,Not Sure,Hate It,Hate It,Good Idea,Good Idea,Good Idea,Good Idea,Dislike It,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Dislike It,Dislike It,Not Sure,Hate It,Not Sure,Hate It,Not Sure,Not Sure,Dislike It,Hate It,Hate It,Hate It,Grand Bargain,Republican,,1976,Female,White,No,High school graduate,Married,Homemaker,"$120,000 - $149,999",No,36054,Alabama,Own,Strong Republican,Donald Trump,Donald Trump,Yes,Moderate,Most of the time,Something else,Never,Yes,Very important,Several times a day,2025-06-03 13:00:30,2025-06-03 13:28:30
2284578136,1.083386353,Yes,None,Not sure,Probably yes,Yes,Yes,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Not Sure,Not Sure,Good Idea,Good Idea,Not Sure,Good Idea,Good Idea,Good Idea,Not Sure,Good Idea,Good Idea,Good Idea,Good Idea,Grand Bargain,Republican,,1968,Female,White,No,4-year,Married,Full-time,"$80,000 - $99,999",No,35630,Alabama,Own,Strong Republican,Donald Trump,Donald Trump,Yes,Very conservative,Most of the time,Protestant,More than once a week,Yes,Very important,Several times a day,2025-06-03 14:08:55,2025-06-03 14:18:20
2285396656,0.866015438,Yes,n/a,Yes,Probably yes,Yes,Yes,Good Idea,Not Sure,Good Idea,Good Idea,Not Sure,Not Sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Grand Bargain,Republican,,1979,Female,White,No,4-year,Married,Full-time,"$50,000 - $59,999",Yes,36830,Alabama,Rent,Strong Republican,Donald Trump,Donald Trump,Yes,Conservative,Some of the time,Roman Catholic,A few times a year,No,Very important,Several times a day,2025-06-03 23:59:11,2025-06-04 0:14:20
2283421894,0.9133828384,Yes,There choices,Not sure,Definitely yes,Yes,Yes,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Grand Bargain,Other,,1981,Female,Black,No,Some college,Divorced,Part-time,"$30,000 - $39,999",No,36303,Alabama,Own,Independent,Did not vote for President,Did not vote for President,Yes,Not sure,Only now and then,Protestant,More than once a week,No,Very important,Several times a day,2025-06-02 23:35:22,2025-06-02 23:43:29
2283085562,1.413597378,Not sure,Not sure they would care to take the time to sit and fill out questions honestly,Yes,Probably yes,No,No,Good Idea,Not Sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Good Idea,Critical to Me & Others,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Good Idea,Critical to Me & Others,Not Sure,Good Idea,Good Idea,Not Sure,Not Sure,Critical to Me & Others,Not Sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Grand Bargain,Independent,,2000,Female,White,No,4-year,Never married,Full-time,"$30,000 - $39,999",No,35226,Alabama,Rent,Lean Republican,Did not vote for President,Donald Trump,Yes,Conservative,Only now and then,Roman Catholic,A few times a year,No,Very important,Several times a day,2025-06-02 18:32:21,2025-06-02 19:09:50
2283058172,0.8654180109,Not sure,I have seen very skewed polling numbers released from this format. The numbers are very biased and left leaning although the actual interest numbers were shown to be 4-6 points to the right .,Not sure,Probably yes,Not sure,Not sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,Not Sure,Not Sure,Good Idea,Critical to Me & Others,Hate It,Hate It,Hate It,Hate It,Hate It,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Current Direction,Independent,"I want less regulation, less government strong arm in my wallet",1970,Female,White,No,4-year,Married,Homemaker,"$500,000 or more",Yes,35243,Alabama,Own,Lean Republican,Did not vote for President,Donald Trump,Yes,Conservative,Most of the time,Protestant,Once a week,Yes,Very important,Several times a day,2025-06-02 18:30:57,2025-06-03 15:28:53
