caseid,weight,F1,F2,F3,F4,F5,F6,Economic Mobility 1,Economic Mobility 2,Economic Mobility 3,Economic Mobility 4,Economic Mobility 5,Economic Mobility 6,Economic Mobility 7,Education 1,Education 2,Education 3,Education 4,Education 5,Education 6,Education 7,Education 8,Education 9,Healthcare 1,Healthcare 2,Healthcare 3,Healthcare 4,Healthcare 5,Healthcare 6,Healthcare 7,Healthcare 8,Energy 1,Energy 2,Energy 3,Energy 4,Energy 5,Fed Spending & Debt,Taxes 1,Taxes 2,Taxes 3,Taxes 4,Taxes 5,Taxes 6,Taxes 7,Grand Bargain or Current Direction?,pid3,What would you change to make you reconsider,birthyr,gender,race,hispanic,educ,marstat,employ,faminc_new,child18,inputzip,inputstate,ownhome,pid7,presvote20post,presvote24post,votereg,ideo5,newsint,religpew,pew_churatd,pew_bornagain,pew_religimp,pew_prayer,starttime,endtime
2260134920,0.9728500235,Yes,None,Yes,Not sure,No,No,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Grand Bargain,Republican,,1968,Female,White,No,Some college,Married,Full-time,"$100,000 - $119,999",No,36587,Alabama,Own,Strong Republican,Donald Trump,Donald Trump,Yes,Conservative,Some of the time,Protestant,Seldom,Yes,Very important,A few times a week,2025-05-21 9:18:29,2025-05-21 9:33:01
2260409486,4.5,Yes,None,Yes,Probably yes,Not sure,No,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Current Direction,Republican,Education,1962,Female,Native American,No,No HS,Married,Permanently disabled,"$10,000 - $19,999",No,35055,Alabama,Rent,Strong Republican,Donald Trump,Donald Trump,Yes,Very conservative,Some of the time,Protestant,Seldom,Yes,Not too important,A few times a week,2025-05-21 11:12:16,2025-05-21 11:21:25
2260569482,0.8423762856,Yes,None,Yes,Probably yes,Yes,Yes,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Grand Bargain,Republican,,1962,Male,White,No,High school graduate,Married,Retired,"$100,000 - $119,999",No,35016,Alabama,Own,Strong Republican,Donald Trump,Donald Trump,Yes,Conservative,Most of the time,Protestant,Seldom,Yes,Very important,Once a day,2025-05-21 12:18:56,2025-05-21 12:26:51
2260700456,0.584533395,Yes,None,Yes,Definitely yes,Yes,Yes,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Grand Bargain,Republican,,1983,Male,White,No,High school graduate,Divorced,Unemployed,"Less than $10,000",Yes,35160,Alabama,Other,Strong Republican,Did not vote for President,Donald Trump,Yes,Very conservative,Most of the time,Something else,More than once a week,Yes,Very important,Several times a day,2025-05-21 13:16:43,2025-05-21 13:48:31
2261079616,0.774844275,Yes,Political,Yes,Not sure,Yes,Yes,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Grand Bargain,Republican,,1996,Male,White,No,High school graduate,Never married,Unemployed,"$40,000 - $49,999",No,35131,Alabama,Own,Strong Republican,Did not vote for President,Did not vote for President,No,Conservative,Most of the time,Protestant,Never,Yes,Very important,Once a day,2025-05-21 16:39:14,2025-05-21 16:49:43
2261353934,1.114901827,Yes,none,Yes,Probably yes,Yes,Not sure,Good Idea,Not Sure,Dislike It,Dislike It,Dislike It,Dislike It,Hate It,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Dislike It,Dislike It,Hate It,Dislike It,Good Idea,Not Sure,Dislike It,Not Sure,Dislike It,Good Idea,Not Sure,Good Idea,Grand Bargain,Republican,,1998,Male,White,No,High school graduate,Never married,Full-time,"$20,000 - $29,999",No,36544,Alabama,Own,Not very strong Republican,Donald Trump,Donald Trump,Yes,Moderate,Most of the time,Muslim,Once or twice a month,No,Somewhat important,Several times a day,2025-05-21 19:36:23,2025-05-21 19:44:10
2258655418,0.7426296822,Not sure,Not really know,Not sure,Not sure,Not sure,Not sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Current Direction,Republican,"A lot of things, but we all stop this mass and get a lot worth each other",1963,Female,White,No,High school graduate,Divorced,Permanently disabled,Prefer not to say,No,36609,Alabama,Rent,Strong Republican,Donald Trump,Donald Trump,Yes,Conservative,Don't know,Something else,More than once a week,Yes,Very important,Several times a day,2025-05-21 21:37:33,2025-05-21 21:58:05
2257410346,1.006588699,No,too busy,Not sure,Not sure,No,No,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Dislike It,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Current Direction,Not sure,,1984,Female,Black,No,Some college,Married,Unemployed,"$50,000 - $59,999",Yes,35208,Alabama,Rent,Independent,Did not vote for President,Did not vote for President,Yes,Conservative,Only now and then,Nothing in particular,Never,No,Very important,Several times a day,2025-05-21 14:24:05,2025-05-21 14:27:46
2257345886,0.8653130156,Yes,I think others like me would be interested.,Not sure,Definitely yes,Yes,Yes,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Grand Bargain,Independent,,1979,Female,White,No,4-year,Married,Unemployed,"$80,000 - $99,999",Yes,36545,Alabama,Own,Lean Republican,Donald Trump,Did not vote for President,Yes,Moderate,Some of the time,Protestant,Once or twice a month,Yes,Very important,Several times a day,2025-05-19 21:30:13,2025-05-19 21:39:08
2257341870,0.6354502916,Not sure,No reason.,No,Probably no,No,No,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Current Direction,Independent,"Your IDEAS have merit BUT, don't try pushing carbon taxing on the USA while the rest of the world's nations will exploit it.",1954,Male,White,No,Some college,Widowed,Retired,"$120,000 - $149,999",No,36301,Alabama,Own,Lean Republican,Donald Trump,Donald Trump,Yes,Conservative,Most of the time,Roman Catholic,Seldom,Yes,Somewhat important,Several times a day,2025-05-19 21:26:50,2025-05-19 22:43:13
