caseid,weight,F1,F2,F3,F4,F5,F6,Economic Mobility 1,Economic Mobility 2,Economic Mobility 3,Economic Mobility 4,Economic Mobility 5,Economic Mobility 6,Economic Mobility 7,Education 1,Education 2,Education 3,Education 4,Education 5,Education 6,Education 7,Education 8,Education 9,Healthcare 1,Healthcare 2,Healthcare 3,Healthcare 4,Healthcare 5,Healthcare 6,Healthcare 7,,Energy 1,Energy 2,Energy 3,Energy 4,Energy 5,Fed Spending & Debt,Taxes 1,Taxes 2,Taxes 3,Taxes 4,Taxes 5,Taxes 6,Taxes 7,Grand Bargain or Current Direction?,pid3,What would you change to make you reconsider,birthyr,gender,race,hispanic,educ,marstat,employ,faminc_new,child18,inputzip,inputstate,ownhome,pid7,presvote20post,presvote24post,votereg,ideo5,newsint,religpew,pew_churatd,pew_bornagain,pew_religimp,pew_prayer,starttime,endtime,
2415780970,0.5670577461,Not sure,Don't know if everyone want that app.,No,Not sure,Not sure,Not sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Grand Bargain,Republican,,1974,Female,White,No,High school graduate,Married,Homemaker,"$20,000 - $29,999",Yes,85020,Arizona,Rent,Not very strong Republican,Did not vote for President,Donald Trump,Yes,Moderate,Some of the time,Jewish,Seldom,No,Not at all important,Never,2025-08-22 17:03:15,2025-08-22 17:08:28,Second generation
2411000308,0.4611309127,No,My family has other priorities.,No,Probably no,No,No,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,Not Sure,Not Sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Current Direction,Democrat,None,1951,Male,White,No,4-year,Married,Retired,"$150,000 - $199,999",No,99516,Alaska,Own,Strong Democrat,Joe Biden,Kamala Harris,Yes,Very liberal,Most of the time,Something else,Once a week,No,Very important,A few times a week,2025-08-22 17:02:27,2025-08-22 17:11:18,Second generation
2415781588,1.65469732,Yes,Don't want to impose on them,Not sure,Probably yes,Not sure,Yes,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Good Idea,Grand Bargain,Independent,,1956,Female,White,No,High school graduate,Married,Retired,"$120,000 - $149,999",No,45040,Ohio,Own,Independent,Donald Trump,Donald Trump,Yes,Moderate,Most of the time,Protestant,Once a week,Yes,Very important,Several times a day,2025-08-22 17:06:05,2025-08-22 17:13:15,Third generation
2415785154,0.6959936345,No,Some people could care less,No,Probably no,Yes,Yes,Hate It,Hate It,Hate It,Critical to Me & Others,Hate It,Critical to Me & Others,Critical to Me & Others,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Grand Bargain,Independent,Get GOD back in the white house,1967,Female,Black,No,4-year,Never married,Full-time,"$150,000 - $199,999",No,30122,Georgia,Rent,Lean Democrat,Joe Biden,Kamala Harris,Yes,Conservative,Some of the time,Protestant,More than once a week,Yes,Very important,Several times a day,2025-08-22 17:07:20,2025-08-22 17:14:34,Third generation
2415788210,0.6206850974,No,I do not share stuff like that at all,No,Not sure,Not sure,No,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Dislike It,,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Critical to Me & Others,Current Direction,Republican,,1968,Male,White,No,High school graduate,Married,Full-time,"$70,000 - $79,999",No,78130,Texas,Own,Strong Republican,Donald Trump,Donald Trump,Yes,Very conservative,Some of the time,Protestant,Never,No,Somewhat important,Never,2025-08-22 17:08:54,2025-08-22 17:15:48,Third generation
2415304082,0.983632746,Yes,None at all,Yes,Definitely yes,Yes,Yes,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Good Idea,Good Idea,Good Idea,Not Sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Good Idea,,Good Idea,Good Idea,Good Idea,Good Idea,Dislike It,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Grand Bargain,Republican,Put non political Americans in positions to make the changes to build America Stronger,1954,Male,White,No,2-year,Married,Retired,"$100,000 - $119,999",No,76131,Texas,Own,Strong Republican,Donald Trump,Donald Trump,Yes,Very conservative,Most of the time,Protestant,More than once a week,Yes,Very important,Several times a day,2025-08-22 17:07:17,2025-08-22 17:17:18,Second generation
2415151284,0.7083361168,Not sure,I don't know if it would be well received.,No,Probably yes,Not sure,No,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Dislike It,,Dislike It,Dislike It,Dislike It,Dislike It,Good Idea,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Not Sure,Grand Bargain,Republican,,1967,Female,White,No,High school graduate,Married,Permanently disabled,"$50,000 - $59,999",No,48030,Michigan,Own,Strong Republican,Donald Trump,Donald Trump,Yes,Very conservative,Only now and then,Protestant,Once a week,Yes,Very important,Several times a day,2025-08-22 17:06:25,2025-08-22 17:17:15,Third generation
2415480352,1.655272278,Yes,None,Yes,Probably yes,Not sure,Not sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Good Idea,Good Idea,Good Idea,Good Idea,Dislike It,Dislike It,Good Idea,Good Idea,Good Idea,Not Sure,Good Idea,Not Sure,Critical to Me & Others,Good Idea,Critical to Me & Others,,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Good Idea,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Not Sure,Grand Bargain,Independent,,1955,Male,White,No,Post-grad,Married,Retired,"$50,000 - $59,999",No,77840,Texas,Own,Independent,Joe Biden,Did not vote for President,Yes,Moderate,Most of the time,Atheist,Never,No,Not at all important,Never,2025-08-22 17:08:00,2025-08-22 17:19:12,Third generation
2415788172,0.7430341025,No,They have enough distraction in their lives.,Not sure,Not sure,No,No,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Hate It,Hate It,Hate It,Hate It,Hate It,Hate It,Not Sure,,Not Sure,Not Sure,Not Sure,Not Sure,Hate It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Hate It,Current Direction,Republican,,1968,Male,White,No,4-year,Married,Unemployed,"$70,000 - $79,999",No,85022,Arizona,Own,Strong Republican,Donald Trump,Donald Trump,Yes,Very conservative,Some of the time,Roman Catholic,Never,No,Not too important,Never,2025-08-22 17:08:49,2025-08-22 17:22:25,Second generation
2415781638,0.1058467459,No,Too wordy and long,No,Not sure,Not sure,No,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Current Direction,Independent,,1965,Male,White,No,4-year,Separated,Permanently disabled,Prefer not to say,No,8840,New Jersey,Other,Lean Democrat,Did not vote for President,Chase Oliver,Yes,Moderate,Most of the time,Roman Catholic,Never,No,Not too important,Seldom,2025-08-22 17:06:20,2025-08-22 17:23:01,Second generation
2414682420,0.6158087587,Yes,Narrowmindedness in people of lesser intelligence.,Yes,Definitely yes,Yes,No,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Good Idea,Grand Bargain,Independent,"Tax the population with an income of $400,000.00 or more at a much higher rate than low income families are charged. Then take that tax income and provide free health care for everyone under an annual income of $150,000.00.",1953,Male,White,No,2-year,Divorced,Retired,"$30,000 - $39,999",No,75048,Texas,Own,Lean Democrat,Joe Biden,Kamala Harris,Yes,Moderate,Some of the time,Roman Catholic,A few times a year,Yes,Somewhat important,A few times a week,2025-08-22 17:02:58,2025-08-22 17:24:51,Third generation
2415266040,1.127624096,No,It feels like it has a veiled political agenda.,No,Probably yes,Not sure,Yes,Good Idea,Not Sure,Not Sure,Dislike It,Good Idea,Good Idea,Good Idea,Good Idea,Dislike It,Not Sure,Dislike It,Good Idea,Dislike It,Hate It,Not Sure,Hate It,Good Idea,Critical to Me & Others,Good Idea,Not Sure,Not Sure,Good Idea,Not Sure,,Good Idea,Good Idea,Good Idea,Not Sure,Not Sure,Good Idea,Dislike It,Not Sure,Good Idea,Dislike It,Dislike It,Good Idea,Good Idea,Grand Bargain,Republican,"More legislation to decrease the power of Big Pharm and insurance companies. Older Americans, especially,  have a hard time negotiating insurance 
""benefits""  and ""coverages"".",1959,Female,White,No,4-year,Married,Part-time,"$40,000 - $49,999",No,21617,Maryland,Own,Strong Republican,Donald Trump,Donald Trump,Yes,Conservative,Some of the time,Nothing in particular,Never,No,Not too important,Seldom,2025-08-22 17:06:33,2025-08-22 17:27:17,Third generation
2415359664,0.8384538275,No,dong use apps,No,Probably no,No,No,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Not Sure,Dislike It,Not Sure,Dislike It,Good Idea,Not Sure,Dislike It,Not Sure,Good Idea,Critical to Me & Others,,Hate It,Dislike It,Dislike It,Dislike It,Hate It,Dislike It,Hate It,Good Idea,Not Sure,Hate It,Hate It,Dislike It,Not Sure,Grand Bargain,Independent,,1936,Male,White,No,4-year,Married,Retired,Prefer not to say,No,20687,Maryland,Own,Independent,Donald Trump,Donald Trump,Yes,Very conservative,Most of the time,Protestant,Once a week,Yes,Very important,A few times a week,2025-08-22 17:05:10,2025-08-22 17:30:15,Second generation
2415232088,0.2096379751,Not sure,It needs more detail on the proposals,Not sure,Not sure,Not sure,Not sure,Good Idea,Not Sure,Good Idea,Not Sure,Not Sure,Good Idea,Not Sure,Not Sure,Not Sure,Not Sure,Good Idea,Not Sure,Dislike It,Not Sure,Good Idea,Not Sure,Good Idea,Dislike It,Not Sure,Good Idea,Not Sure,Good Idea,Not Sure,,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,Not Sure,Good Idea,Dislike It,Not Sure,Good Idea,Grand Bargain,Other,You need to add more detail so we can better understand each proposal. You need to add a single-payer health care system. Add a proposal to end money in politics such as ending Citizens United.,1961,Female,White,No,2-year,Divorced,Retired,"$10,000 - $19,999",No,97402,Oregon,Rent,Lean Democrat,Howie Hawkins,Other,Yes,Very liberal,Most of the time,Agnostic,Seldom,No,Not at all important,Seldom,2025-08-22 17:06:00,2025-08-22 17:30:15,Third generation
